ENTREPRISE,ADRESSE,VILLE,CODE POSTAL,CONTACT,TELEPHONE,Poste,Fax,Email
IGUS,PO BOX 14349,EAST PROVIDENCE,RI 02914,,,,,
LAFCO,1990 # 190 RUE CYRILLE DUQUET,QUEBEC,G1N 4K8,JACQUES BERUBE,866-948-8569,,,jacques.berube@lafco.ca
LAM-E / ST-PIERRE,1050 BL CHAREST OUEST,QUEBEC,G1N 0C3,PATRICK BOUCHARD,1-800-652-9759,,,pbouchard@lam-e.com
LES CONTROLES JAD,660 BL LEMIRE,DRUMMONDVILLE,J2C7W9,Sylvain Mace,888-523-9886,,819-475-0218,s.mace@controlesjad.com
"LP TECH,INC",4747 BL. LITE,LAVAL,H7C 1A7,MOUHAMED,,,450-661-6332,mouhamed
MACHINERIES SERGE LEMAY,"5 , RANG 2",WARWICK,J0A1M0,LUC LEMAY,819-358-4800,,,
Malin Company,5400 Smith Road,"Brook Park, Ohio",44142,Jim Hauck GM,800-967-9697,,,jhauck@malinco.com
MANUFACTURE SCORPION,561 RUE EDOUARD,GRANBY,J2G 3Z5,MARTIN,800-665-3595,233,450-278-6076,Contact@mscorpion.com
MEGANTIC METAL,1400 BOUL. FRONTENAC EST.,THETFORD MINES,G6G5R9,LOUIS JOLICOEUR,(418)-338-3188,,(418)-338-5096,ljolicoe@russelmetals.com
MEC PRECISION,665 rue Laurent,Granby,J2G 8P4,Louis-Philippe Cartier,450-263-5215,,,
MMS LASER,1501 BL JUTRAS,VICTORIAVILLE,G6T 2A9,ETIENNE ROBICHAUD,819-604-1613,,,etienne@mmslaser.com
MIDLAND TRANSPORT,100 Midland Drive,"Dieppe, N.B",E1A 6X4,,1-888-MIDLAND,,,
MISUMI USA Headquarters,"1717 Penny Lane, Ste 200","Schaumburg, IL 60173",,,800-681-7475,,inquire@misumiusa.com,
MOUSER,137 GLASGOW STREET,KITCHENER,N2G4X8,WEB,800-346-6873,,,
MOTEUR VICTO,"2 Rue de L'aqueduc",VICTORIAVILLE,G6P 1L5,,,,819-758-4974,
MTY EXPRESS,"25-1 RUE DE L'ÉTANG",ST-FRANCOIS DE LA RIVIERE SUD,G0R3A0,MATTHEW BOLDUC,418-472-1279,,,matthew@mtyexpress.com
NEXTRUSION,10500 COLBERT,MONTREAL,H1J 2H8,JONATHAN GALIPEAULT,514-355-6868,252,,
NEWARK IN ONE,"300 S. Riverside Plaza,Suite 2200",Chicago,"Illinois, 60606-6765",WEB,,,,
NOVATECH,"100, 181e rue",Beauceville,G5X 2T1,DAN ROY,(418) 774-2949,2219,,dan.roy@groupenovatech.com
NORD GEAR LIMITED,41 West Drive,Brampton ON,L6T 4A1,,,,905-796-8130,accounting.ca@nord.com
OMNI TRANS INC,4300 JEAN TALON OUEST,MONTREAL,H4P 1W3,Jonathan Capolupo,415-288-6664,,,dmathieu@omnitrans.com
OUTIL MAG,8 BL LABBÉ SUD,VICTORIAVILLE,G6S 1B5,,819-751-2424,,,
OXYGEN BOIS-FRANC,,,,,,,,
OMEGA,WEB,,,,,,,
PLASMA FORME,"909, De L'Acadie",VICTORIAVILLE,G6T 1W4,ERIC BLOUIN,819-751-6662,,,info@plasmaforme.com
PLASTICS CM,"C.P. 7  QC 375, rue Gamache",VICTORIAVILLE,G6P 6S4,SYLVIE,(819)758-2139,,(819)752-9389,info@plasticscm.ca
Portes Metalliques Jacob Inc,305 rue Marie-Victorin,Saint-Bruno,J3V 6B7,,,,450-441-0474,
PROMAX,"2435 Avenue Watt,","Québec,",QC G1P 3X2,,,,(418) 650-7889,
PROAX TECHNOLOGIES,"834, boulevard Industriel",Granby (QC),J2J 1A4,ALEX SAMSON,450 915-2031,,,
PROVICTO,1312 RUE NOTRE DAME,VICTORIAVILLE,G6P4B8,M.POISSON,819-604-7060,,,gbsvicto@hotmail.com
QUICK LATCH PRODUCT LLC,3406 INTERSTATE HIGHWAY 30 E,GREENVILLE,TEXAS,75402,,,,sales@q-latch.com
REFLEC,8 RUE DU CIMETIERE,WARWICK,J0A 1M0,DAVID POULIN,819-358-5270,,,
RONA,4 Rte St-Albert,Warwick,J0A 1M0,,,,,
SHARS,840 Equity Drive,"St. Charles, IL 60174",,WEB,,,,
SIDEVIC,447 DE BIGARRE,VICTORIAVILLE,G6T 1L7,FRANCOIS,819-758-6486,COMPTE #4883,819-758-4460,info@sidevic.com
SOL-R,44 BENJAMIN-HUDON,,H4N 1H8,PASCAL SIMARD,,,514-566-7891,
SOUDURE STS,37 RG 4 EST,WARWICK,J0A 1M0,STEVE TOUSIGNANT,819-358-0246,,,
STARCYL,,,,,,,,
"TCH, TRASN CONTINENTAL HARDWARE",16757 Hymus Blvd Kirkland,MONTREAL,H9H 3L4,ANN GAGNON,514.697.7847,,514.697.5140,agagnon@tchweb.com
TENAQUIP,22555 AUT TRANSCANADIENNE,SENNEVILLE,H9X 3L7,CAROLINE FORGET,1800-661-2400,,,cfo@tenaquip.com
TEQNICOLOR,2931 DU MEUNIER UNIT#2,VEUDREUIL DORION,J7V8P2,PHILIPPE TRUDEAU,514-400-1029,,,
TRIM-LINE BOIS FRANC,"65, Roy,",VICTORIAVILLE,G6P 8W8,,819-758-4018,,,
ULINE,WEB,,,,,,,
VAILLANCOURT,,,,,,,,
VFD,439 RUE DE BIGARRÉ,VICTORIAVILLE,G6P 8P1,xavier,819-795-3737,,,
Vitrerie S B & Associés,"140 Rue Baillargeon,","Châteauguay, QC",J6J 4Z,,,,,
VITRERIE SAVARD,270 Bd Arthur Sauve,St Eustache QC,J7P 2J1,,,,,
WAJAX,"670, boul. Lemire",DRUMMONDVILLE,J2C 7W9,Josiane Olivier,819­477­9111,,819­474­4912,jolivier@wajax.com
Weather Seal Windows,210 Bartor Road,"North York, Ontario",,Mike,,,,
VITRERIE DE LA VALLÉE,"332 CHEMIN INDUSTRIEL, UNIT 3",GATINEAU,J8R 3N9,,,,,
MC MASTER,,,,,,,,
BECKHOFF AUTOMATION LTD,"4 SCHIEDEL COURT, UNIT 1-3","CAMBRIDGE, ON",N3C 0H1,MARIO PARADIS,819-345-1319,289-627-1900,,
PRO MATRICE INC,300 A RUE CARTIER,ST-LEONARD D ASTON,J0C1M0,STEPHANE,819-399-3808,,,INFO@PROMATRICE.CA
Plessitech,"2250, Avenue Vallée","Plessisville, QC, Canada",G6L 2Y6,DANIEL PLANTE,(819) 362-6315,,,danielplante@plessitech.com
AUTOMATION DEVICES INC,7050 West Ridge Road,"Fairview, PA",16415-2099,Sayde Bebell,(814) 474-5561,,,SBebell@autodev.com
RODIX INC,2316 23rd Avenue,"Rockford, IL USA",61104-7337,,(800) 562-1868,,,custserve@rodix.com
GARAGE YVON BOLDUC,118 Rue Saint Louis,Warwick,J0A 1M0,,(819) 358-5251,,,
JELDWIN,,,,,,,,
GPR INDUSTRIAL,7448 Wiles Rd -,"CORAL SPRINGS,",,Florida 33067 - United States,,,,
SPARE PARTS,"Ground Floor, 71 Lower Baggot Street","Saint Peter's","Dublin, D02 P593,Ireland",Henrik Lindebergh,35314428767,,,
IGUS,,,,,,,,
VERICAL ELECTRONIC,WEB,,,,,,,
